physical_intersection,tls_id,link_index,from_edge,from_lane,to_edge,to_lane,via_lane,sumo_dir,estimated_approach_direction,estimated_travel_direction,movement_class,same_link_index_connections,phase_0_state,phase_1_state,phase_2_state,phase_3_state,phase_4_state,phase_5_state,osm_turn_lanes_or_restriction_evidence,review_status,correction_required,basis_and_uncertainty
홍익대학교 정문 앞,2959081059,0,-218976037#0,1,-299767124#4,0,:2959081059_0_0,r,east,north,right,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=r and node geometry agree: turn=75.9°, approach azimuth=62.3° (NE), outbound azimuth=318.2° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,1,-218976037#0,1,-333681731#5,0,:2959081059_1_0,s,east,south,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=-21.5°, approach azimuth=62.3° (NE), outbound azimuth=220.8° (SW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,2,-218976037#0,2,168874251#0,0,:2959081059_2_0,l,east,south,left,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_non_passenger_scope,no_vehicle_topology_change_indicated,"SUMO dir=l and node geometry agree: turn=-101.2°, approach azimuth=62.3° (NE), outbound azimuth=141.1° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,3,-218976037#0,2,218976037#0,2,:2959081059_3_0,t,east,east,u_turn,[],r,r,r,r,G,y,turn:lanes absent; relevant restriction absent in raw snapshot,unresolved_no_osm_legality_evidence,hold_pending_field_or_streetview_evidence,"SUMO dir=t and node geometry agree: turn=-180.0°, approach azimuth=62.3° (NE), outbound azimuth=62.3° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,4,-168874251#0,0,218976037#0,1,:2959081059_4_0,r,south,east,right,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_non_passenger_scope,no_vehicle_topology_change_indicated,"SUMO dir=r and node geometry agree: turn=101.2°, approach azimuth=141.1° (SE), outbound azimuth=62.3° (NE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,5,-168874251#0,0,-299767124#4,0,:2959081059_5_0,s,south,north,straight,[],G,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_non_passenger_scope,no_vehicle_topology_change_indicated,"SUMO dir=s and node geometry agree: turn=-2.9°, approach azimuth=141.1° (SE), outbound azimuth=318.2° (NW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,6,-168874251#0,0,-333681731#5,0,:2959081059_6_0,l,south,south,left,[],g,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_non_passenger_scope,no_vehicle_topology_change_indicated,"SUMO dir=l and node geometry agree: turn=-100.3°, approach azimuth=141.1° (SE), outbound azimuth=220.8° (SW). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,7,-168874251#0,0,168874251#0,0,:2959081059_7_0,t,south,south,u_turn,[],g,y,r,r,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,unresolved_no_osm_legality_evidence,hold_pending_field_or_streetview_evidence,"SUMO dir=t and node geometry agree: turn=-180.0°, approach azimuth=141.1° (SE), outbound azimuth=141.1° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,8,333681731#5,0,168874251#0,0,:2959081059_8_0,r,south,south,right,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_non_passenger_scope,no_vehicle_topology_change_indicated,"SUMO dir=r and node geometry agree: turn=100.3°, approach azimuth=220.8° (SW), outbound azimuth=141.1° (SE). Geometry supports movement class, not legal permission; no external imagery used."
홍익대학교 정문 앞,2959081059,9,333681731#5,0,218976037#0,1,:2959081059_9_0,s,south,east,straight,[],r,r,G,y,r,r,turn:lanes absent; relevant restriction absent in raw snapshot,geometry_consistent_osm_legality_unverified,no_change_indicated_by_current_evidence,"SUMO dir=s and node geometry agree: turn=21.5°, approach azimuth=220.8° (SW), outbound azimuth=62.3° (NE). Geometry supports movement class, not legal permission; no external imagery used."
