physical_intersection,junction_id,edge_id,role,osm_way_id,road_name,relative_direction,bearing_degrees,sumo_lane_count,passenger_lane_count,lane_permissions,osm_lanes,osm_lanes_forward,osm_lanes_backward,osm_turn_lanes,osm_oneway,restriction_relations,evidence_status
월드컵북로/양화로 인접 경고 교차로,11059771900,254749392,minor-green incoming,254749392,월드컵북로,south,137.3,3,3,lane0: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane1: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane2: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,6,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
월드컵북로/양화로 인접 경고 교차로,11059771900,515592172#0,minor-green outgoing,515592172,양화로,west,228.1,4,4,lane0: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane1: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane2: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane3: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,4,absent,absent,absent,yes,none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,-168874251#0,incoming,168874251,unnamed,south,141.1,1,0,lane0: allow=pedestrian delivery bicycle,absent,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,-218976037#0,incoming,218976037,와우산로,east,62.3,3,2,lane0: allow=pedestrian | lane1: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane2: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,4,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,-299767124#4,outgoing,299767124,홍익로,north,318.2,1,1,lane0: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,absent,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,-333681731#5,outgoing,333681731,와우산로,south,220.8,1,1,lane0: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,3,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,168874251#0,outgoing,168874251,unnamed,south,141.1,1,0,lane0: allow=pedestrian delivery bicycle,absent,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,218976037#0,outgoing,218976037,와우산로,east,62.3,3,2,lane0: allow=pedestrian | lane1: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane2: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,4,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,299767124#4,incoming,299767124,홍익로,north,318.2,1,1,lane0: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,absent,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
홍익대학교 정문 앞,2959081059,333681731#5,incoming,333681731,와우산로,south,220.8,2,2,lane0: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone | lane1: all except=pedestrian tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,3,absent,absent,absent,absent (not explicit permission evidence),none involving way/junction in raw snapshot,OSM tags + generated net + geometry; no external imagery
